created_at,username,tweet,language,replies_count,retweets_count,likes_count
2021-03-03 01:41:33 India Standard Time,kwttoday,"Number of coronavirus recoveries in Kuwait rose by 964 over the past 24 hours putting whole figure of recuperated at 181,119, the Ministry of Health (MoH) said on Tuesday.  https://t.co/K8iKyv0qLp",en,0,0,5
2021-03-02 23:35:09 India Standard Time,rohailramzanali,"Alhamdullilah!  Despite a player got POSITIVE, PSL is going on.  Let's beat Coronavirus together!",en,0,0,0
2021-03-02 23:22:25 India Standard Time,raja50301097,CHINA ATTACK INDIA DURING  CORONAVIRUS THE MOST DANGEROU S THING A COUNTRY CAN DO,en,0,0,0
2021-03-02 22:10:28 India Standard Time,arunchadha6,"Respected Pope Francis plans to visit Iraq later this week. He has been warned of the rising 'Corona Virus' infections &amp; the fragile health care system.Iraq is the birth place of Abraham. His visit is also perceived as 'Veticans', relations bridging efforts with the muslim world.",en,0,0,0
2021-03-02 21:55:32 India Standard Time,surendrapalsin3,"""COVID-19 in India"" #coronavirus  https://t.co/jBpKIoau1B",en,0,0,1
2021-03-02 21:50:31 India Standard Time,jehlamtimes,"Rajnath gets his covaxin jab  NEW DELHI: Defence Minister Rajnath Singh took the first dose of the coronavirus vaccine at the Army's Research and Referral Hospital in New Delhi on Tuesday, a day after the start of the second phase of the inoculation drive. @rajnathsingh  https://t.co/3prIYH1Axo",en,0,1,0
2021-03-02 21:17:06 India Standard Time,arunchadha6,"The music industry had a way to grow amidst 'Corona Virus'. The overall music revenue increased by 9.2 % and touched US $ 12.2 billion in the year 2020, as per, ' Recording Industry Association of America' . Much came from the streaming industry.",en,0,0,0
2021-03-02 19:55:08 India Standard Time,srilankatweet,Coronavirus is not over yet.  Stay Safe and continue to.. 🔹Wash your hands 🔹Wear Face Mask 🔹Maintain Social Distance 🔹Limit traveling Dont underestimate #COVID19! Viruses spread quickly - Be Vigilant❗ #COVID #COVID19LK #LKA #SriLanka #COVID19SL  https://t.co/ZMU7uhSzRx,en,0,14,35
2021-03-02 19:53:38 India Standard Time,alikfinifaru,"Coronavirus crisis unlikely to be over by the end of the year, WHO warns  https://t.co/4frWVxoM7l",en,0,0,1
2021-03-02 19:43:53 India Standard Time,jehlamtimes,"JK reports 85 new positive cases, 123811 recovered so far  #JAMMU-The Government on Tuesday informed that 85 new positive cases of novel Corona virus (COVID-19), 12from Jammu division and 73 from Kashmir division.  https://t.co/t8lRE2j1mv",en,0,2,1
2021-03-02 19:19:32 India Standard Time,zee_g18,Someone punish them for not wearing masks and spreading Corona virus! #MaskUp #WearAMask,en,0,0,2
2021-03-02 17:43:19 India Standard Time,uequals2u,The international development and aid arms of governments in the richest countries must act now to ensure that no-one is left behind in coronavirus vaccine roll-out.,en,1,0,0
2021-03-02 17:43:15 India Standard Time,uequals2u,"As countries scramble for access to vaccines with the hope of breaking out of the cycles of epidemic flare-ups and economically damaging lockdowns and high mortality from coronavirus, vaccine prices could be pushed up as richer countries try to jump to the front of the queue.",en,1,1,1
2021-03-02 17:43:14 India Standard Time,uequals2u,"Similar imbalances are emerging at the time of writing in the early days of coronavirus vaccination. For example, whereas 25% of people with Israeli identity cards have received the Pfizer vaccine, none of 4 million Palestinians has received a dose of vaccine.",en,1,1,1
2021-03-02 17:39:04 India Standard Time,nikhildutt12,Stay Safe🙏🏻 #coronavirus #CoronaVirusUpdates #healthcare #WearYourMask #WearAMask #WashYourHands #SocialDistancing  https://t.co/QjeW73GRSn,en,0,0,2
2021-03-02 17:19:49 India Standard Time,easwaranrutnam,Another six locations are being concidered to bury coronavirus victims. Reports said that the six locations include areas in Puttalam and Mannar. #Srilanka #lka #stopforcedcremations #COVID19 #Covid_19,en,3,3,10
2021-03-02 17:07:14 India Standard Time,rajeshkshitij,"#Telangana - 163 new #COVID19 cases, 157 Recoveries &amp; 1 death reported in State till 8pm of 1st March. Now Total cases in state rises to 2,99,086 including 2,95,544 Cured/Recovered, 1907 Active Cases &amp;  1635 Fatalities - State Health Dept #coronavirus @News18MP @News18CG  https://t.co/KexblspU23",en,0,0,0
2021-03-02 15:35:55 India Standard Time,rajeshkshitij,"#HimachalPradesh - 4 new #COVID19 +ve cases, 20 Discharges &amp; No Death reported in state today till 2pm.  Now Total cases in state rises to 58,781 including 57,367 Cured/ Discharged, 418 Active Cases &amp; 983 Deceased -State Health Dept  #coronavirus @News18MP @News18CG  https://t.co/S5TuoFwUOS",en,0,0,0
2021-03-02 13:48:11 India Standard Time,samarjeet_n,Your coronavirus vaccine guide: Covishield vs Covaxin   https://t.co/dMOUKjQmVl   Download Economic Times App to stay updated with Business News -  https://t.co/nEWHI5fjSy  https://t.co/DrsHIJpKQE,en,0,1,0
2021-03-02 13:21:48 India Standard Time,helpinghand_med,Get your #medicines right at your #doorstep by skipping your #travellings   Get 10% - 15% off on your medicines   Install app now -  https://t.co/dDytMEjEwi  #COVID19Vaccine #vaccine #Bangalore #LOVE_or_TAKE #belgaum #Pune #Belagavi #coronavirus #COVID19 #NationalScienceDay *tnc  https://t.co/YwXnR43iVo,en,0,3,2
2021-03-02 12:44:42 India Standard Time,jaggirm,#Argentina  Thousands protest in Argentina's Buenos Aires against handling of covid-19 VIP vaccination scandal and took to streets  placing fake body bags outside government offices symbolising coronavirus deaths.  https://t.co/hA29CHFTqD,en,0,0,4
2021-03-02 12:39:56 India Standard Time,rajeshwarhospi2,Consult Today itself...  #hospital #covid #doctor #medical #nurse #medicine #health #healthcare #doctors #medicina #coronavirus #surgery #nurselife  #nursing #surgeon #nurses #medstudent  #enfermagem  #medicalstudent #corona #healthcareworkers #besthospital #besthospitalinpatna  https://t.co/R7MSf9XtDl,en,0,0,0
2021-03-02 10:39:45 India Standard Time,ritikga54232370,"We can use this project to sanitize the coronavirus.  If there is a fire, you can use it to extinguish the fire. This is a Working mobel  https://t.co/uRIjo9Yakz",en,0,0,1
2021-03-02 07:15:45 India Standard Time,sokros5,"International News: New Johnson &amp; Johnson Vaccine Starts Shipping Acro...  https://t.co/vDAT0f2If7, shipping began for Johnson &amp; Johnson’s new single-dose coronavirus vaccine, making a total of three vaccines now available.",en,0,0,0
2021-03-02 01:46:48 India Standard Time,shivaroy,"The deadlier virus than corona virus is the human moron virus. You find them lurking around social media, infecting people with potent doses of misinformation! Symptoms: 0 facts, no data &amp; evidence, no sources, only biases &amp; misplaced nationalism. Oops missed verbal diarrhoea!",en,0,0,0
2021-03-01 23:39:24 India Standard Time,bardoliguide,Corona Vaccine taken by Top Indian Politicians today .  #indianpolitician #india #corona #covi̇d19 #coronaupdates #coronapositive #coronavirus #coronavaccine  https://t.co/uJnGgiPRGT,en,0,0,0
2021-03-01 22:43:56 India Standard Time,humanity_lane,Coronavirus doctor's diary: Study shows one-in-three children have rarely been leaving the house  https://t.co/GeAjnLZiaC,en,0,0,0
2021-03-01 19:53:44 India Standard Time,_javeria_waseem,HAPPIEST BIRTHDAY TO ONE OF THE MOST FINEST AND BRILLIANT CRICKETER OF PAKISTAN @SAfridiOfficial 🇵🇰 THANK YOU FOR CREATING THE SPIRIT OF CRICKET AMONG US! ♥️  #ShahidAfridi #HBDShahidAfridi #Cricket #MatchDikhao #Pakistan #PSL2021 #GoldenGlobes #China #coronavirus #mondaythoughts  https://t.co/uwUWGdS619,en,0,1,5
2021-03-01 19:40:45 India Standard Time,jehlamtimes,"JK reports 63 new positive cases, 123717 recovered so far  #JAMMU: The Government on Monday informed that 63 new positive cases of novel Corona virus (COVID-19), 09from Jammu division and 54 from Kashmir division.  https://t.co/kgK0wM6kF7",en,0,1,0
2021-03-01 19:40:34 India Standard Time,venkate18101896,"@SabithaindraTRS Respected to the Honerable educational minister of Telangana. As iam Venkateshnayak of Bachelor of physiotherapy student 1st Year from KNRUHS-University(From Paramedical). Due to pandamic situation of Corona virus(Bsc-MLT and Bsc-Nursing) Courses Promoted,but",en,0,0,1
2021-03-01 17:16:18 India Standard Time,pradeep77124653,A little girl makeover special speech of #coronavirus  https://t.co/lIGhCqszL8,en,0,0,0
2021-03-01 11:58:33 India Standard Time,zgclhk,"Route recommendation        Departure Airport: ZGGG       Landing Airport: VTBS        Recommended model: Boeing 777 F.  Event: Vaccine Incident in Thailand  Remarks: On February 27, 2021, Thailand imported the first batch of coronavirus vaccine from China. @rortos  https://t.co/D1ZUAxw00R",en,0,0,2
2021-03-01 11:58:30 India Standard Time,theweunitedproj,She is #COURAGEOUS. She returns to play and uses risk mitigation strategies to protect herself and her team mates. She uses her voice to encourage others to follow the guidelines as well. #WhoIsShe?    #BeTheChange #SeedTheChange #BeAWarrior #YodhaBanau #Covid19 #CoronaVirus  https://t.co/wCpnfa1gih,en,0,0,1
2021-03-01 11:12:56 India Standard Time,thisabhishek200,Today motivational Quotes Good morning #MondayMotivation #CoronaVaccine #COVAXIN #narendramodi  #coronavirus #MondayMotivation #mondaythoughts #Mondayvibes #MondayMorning  https://t.co/RNwPffIdYV,en,0,0,2
2021-03-01 11:12:24 India Standard Time,thisabhishek200,Today motivational Quotes  #MondayMotivation #CoronaVaccine #COVAXIN #narendramodi  #coronavirus #MondayMotivation #mondaythoughts #Mondayvibes #MondayMorning  https://t.co/vuVT9sN6zU,en,0,0,1
2021-03-01 11:11:01 India Standard Time,mdrashidhussa18,"@narendramodi @PMOIndia  @narendramodi  Ji Takes First Shot Of Coronavirus Vaccine at Delhi AIIMS  Great, this shall build a lot of confidence in people.  Remember, ""दवाई भी और कड़ाई भी""  @arjunbhatigolf  @yaserjilani  @Shehzad_Ind  @ishankishan51    #LargestVaccineDrive #MotivationalQuotes  https://t.co/JNq3cbswpF",en,0,0,4
2021-03-01 10:57:18 India Standard Time,kitsterindia,All new prints! Set of 3 Shaped #masks for Rs. 250 only  on:  https://t.co/3L8D2fxZia #facemask #masks #coronavirus #staysafe #safetyfirst  #shopping  #stayhome #springcollection #quarantine #locallymade  #socialdistancing #cottonmask #instagood #handmade  #smallbusiness #pandemic  https://t.co/Y3cIX3Rpwe,en,0,1,2
2021-03-01 10:40:44 India Standard Time,mdrashidhussa18,"@PMOIndia  @narendramodi  Ji Takes First Shot Of Coronavirus Vaccine at Delhi AIIMS  Great, this shall build a lot of confidence in people.  Remember, ""दवाई भी और कड़ाई भी""  @arjunbhatigolf  @yaserjilani  @Shehzad_Ind  @ishankishan51    #LargestVaccineDrive  #MotivationalQuotes  https://t.co/Eue5KRBP4x",en,0,0,2
2021-03-01 10:28:28 India Standard Time,waseemwsm,Picture talks...  #LKA #Srilanka #MuslimsUnderAttackinSL #StopForcedCremationsSriLanka #StopForcedCremation #COVID19 #CoronaOutbreak #CoronaVirus  https://t.co/XbOqhn2NaU,en,0,0,0
2021-03-01 10:06:18 India Standard Time,aditya12th,"@sran_avtar @manikbhakt @holland_tom First u see the economic condition of country, corona virus hit every country's economic status. And let me remind you that During whole lockdown period Our PM Gives Free RATION to the People And What u think during the INC party not a single time this problem was there.",en,1,0,2
2021-03-01 09:48:06 India Standard Time,deepadoc,"PM @narendramodi took his 1st dose of #COVID19 vaccine in delhi today. He was administered Indian company Bharat Biotech's #COVAXIN. People had doubts about data of COVAXIN's result,now this news will motivate many to take it🙏 #coronavirus #COVID19Vaccine  https://t.co/UXIJfLzjXn",en,1,5,16
